ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
22383-0806-1.zip,202202011446,庵原郡由比町,別図-1,,
22383-0806-1.zip,202202011446,庵原郡由比町,別図-14,,
22383-0806-1.zip,202202011446,庵原郡由比町,道-9,,
22383-0806-1.zip,202202011446,庵原郡由比町,水-6,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-20,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-635,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-636,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,無地番-2,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,無地番-3,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,無地番-68,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-1,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-604,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-609,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-612,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-6,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-515,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-518,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,長狭物不明-1,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,長狭物不明-305,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-584,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-600,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-503,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-505,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,長狭物不明-304,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-586,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-590,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-602,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-1,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-508,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-12,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-623,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,長狭物不明-307,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-616,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,長狭物不明-5,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-16,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-619,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-10,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-522,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,無地番-4,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-18,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-19,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-23,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-627,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-594,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,道-595,,
22383-0806-2.zip,202202011446,庵原郡由比町今宿,水-2,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-620,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-632,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,水-519,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,水-528,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-621,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-633,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,水-527,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-17,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-630,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-11,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,水-498,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,水-502,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,無地番-67,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-3,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,水-496,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-580,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-588,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-583,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-5,,
22383-0806-3.zip,202202011446,庵原郡由比町今宿,道-6,,
